Gen,Fit,Cat,Div,Loc,Comp,Unq,Tot,Hits
51090,317552,0,0.0332298,0.675555,0.249335,0.767258,45,12,151735
51420,317552,0,0.0292547,0.69685,0.22378,0.789973,45,12,152510
51630,317552,0,0.0292547,0.69685,0.22378,0.789973,45,12,152972
52140,317552,0,0.0291097,0.697626,0.222848,0.790802,45,12,154145
53220,317552,0,0.0260455,0.714042,0.20315,0.808311,46,13,156396
53250,317552,0,0.0260455,0.714042,0.20315,0.808311,46,13,156454
53520,317552,0,0.0242443,0.723691,0.191571,0.818604,46,13,157027
54270,317552,0,0.0237267,0.726464,0.188243,0.821562,46,13,158618
54570,317552,0,0.0226004,0.723625,0.19165,0.818533,46,13,159252
55230,317519,0,0.0225052,0.733008,0.18039,0.828542,47,13,160504
55290,317519,0,0.0225052,0.733008,0.18039,0.828542,47,13,160588
55500,317519,0,0.0221739,0.734783,0.178261,0.830435,47,13,160948
55980,317519,0,0.0200207,0.746318,0.164419,0.842739,47,13,161885
56070,317519,0,0.0200207,0.746318,0.164419,0.842739,47,13,162030
56490,317519,0,0.0198137,0.747427,0.163088,0.843922,47,13,162829
58590,317519,0,0.0191097,0.751198,0.158563,0.847944,48,14,166907
59100,317519,0,0.0186128,0.751198,0.158563,0.847944,48,14,167873
59250,317519,0,0.0173913,0.760404,0.147516,0.857764,48,14,168183
59400,317519,0,0.0173913,0.760404,0.147516,0.857764,48,14,168497
59970,317519,0,0.018911,0.752263,0.157285,0.84908,48,14,169547
60210,317519,0,0.0194079,0.749601,0.160479,0.846241,49,15,170050
60420,317519,0,0.0194079,0.749601,0.160479,0.846241,49,15,170480
60750,317519,0,0.0182484,0.755812,0.153026,0.852866,49,15,171082
61320,317519,0,0.0182484,0.755812,0.153026,0.852866,49,15,172164
61890,317491,0,0.0243768,0.722981,0.192422,0.817847,49,15,173210
62490,317458,0,0.0299172,0.693301,0.228039,0.786188,49,15,174256
62580,317458,0,0.0344306,0.669122,0.257054,0.760396,50,16,174445
62700,317458,0,0.0344306,0.669122,0.257054,0.760396,50,16,174679
63450,317458,0,0.0340166,0.67134,0.254392,0.762762,50,16,176201
63630,317458,0,0.0380787,0.671229,0.254525,0.762644,50,16,176588
64380,317458,0,0.0418799,0.629215,0.304942,0.717829,50,16,178082
64830,317458,0,0.0420538,0.628283,0.30606,0.716835,50,16,179015
64920,317458,0,0.0420538,0.628283,0.30606,0.716835,50,16,179174
65280,317458,0,0.0390683,0.644277,0.286868,0.733895,51,17,179973
65310,317458,0,0.0390683,0.644277,0.286868,0.733895,51,17,180054
65670,317458,0,0.0366874,0.657032,0.271562,0.747501,51,17,180827
66240,317423,0,0.0398551,0.640062,0.291925,0.7294,51,17,182204
66270,317423,0,0.0411925,0.640062,0.291925,0.7294,51,17,182270
66540,317423,0,0.0411925,0.632897,0.300524,0.721757,51,17,182923
66930,317423,0,0.0406128,0.632897,0.300524,0.721757,51,17,183872
67800,317423,0,0.0446915,0.614153,0.323017,0.701763,52,18,186288
67890,317423,0,0.0446915,0.614153,0.323017,0.701763,52,18,186540
68430,317423,0,0.0446915,0.614153,0.323017,0.701763,52,18,188115
68850,317423,0,0.0446915,0.614153,0.323017,0.701763,52,18,189284
69300,317423,0,0.042207,0.627462,0.307045,0.71596,52,18,190438
